Postdate,Display name,Username,Content,Likes,Comments,Retweets,Reach
2023-03-17T23:07:39.000Z,Engr. Tanimu Abdu GSS Giwa,@Tanimua62012354,Yau ne 18/03/2023 ranar Zaben 2023 elections. Allah bamu saa Domin sonka da Annabi.,,,,2
Sponsored post,DITOGAMES,@DITOGAMESch,"If you have a mouse, you will never turn off your computer again.",13K,892,"2,059",19.4M
2023-03-17T23:06:16.000Z,Oluwaseyi Jibodu’s Blog ✪,@TheSeyiBlogNG,"It's #NigerianElections2023 Guber and SHA polls Morning! 
Today, we bring you news from 28 states across Nigeria where Gubernatorial and State House of Assembly polls will hold today. 

You will need our tweet notifications, so put them on! 

Let's wrap up the #2023Elections!",1,,,25
2023-03-17T22:55:21.000Z,Dan S #HealthcareVoter,@Dsquared75,"#WISupremeCourt #2023Elections #CourtsMatter and #DefendingDemocracy starts in the States. All eyes will be on Wisconsin early next month for the early April election that could be a game changer in one of the most important belweather states h/t 
@ThePlumLineGS",,,,52
2023-03-17T22:54:36.000Z,Naijareel.comᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,@naijareel,"2023 Elections: Falz, others allegedly assaulted at their polling units",,,,1
2023-03-17T21:29:13.000Z,SuperFM,@supernewsph,"Join us by 8am tomorrow for the live coverage of the 2023 Rivers State Elections 
#2023elections",1,,1,29
2023-03-17T21:21:50.000Z,Joe Dinma Amadi,@JoeDinma,"Attention: The Inspector General of Police is hereby requested to investigate the said police spokesman for making irresponsible state in the matter of M. C. Oluomo's threat to voters who will not vote for APC during the rescheduled 18th March, 2023 elections in Lagos State.",,,,5
2023-03-17T20:57:04.000Z,Marcellux,@i_marcellux,Tag the owners of this perfume in politics and run away  lol . #INECElectionResult #election2023 #2023elections #NigeriaDecide2023,,,,8
2023-03-17T20:52:14.000Z,NPOReports,@NpoReports,Alleged New Threat to Igbo Was Just A Joke; MC Oluomo Says in Fresh Video https://nporeports.com/video-on-threat-to-igbo-was-just-a-joke-mc-oluomo-says-in-fresh-video/… #LagosDecides2023 #2023Elections #MCOluomo,,1,,34
2023-03-17T20:40:55.000Z,Situation Room,@SituationRoomNg,"The Nigeria Civil Society Situation Room has raised concerns over potential threats of violence in many states during the March 18 governorship and state houses of assembly elections.

Read more: https://bit.ly/42jHlUj

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections",2,1,,464
2023-03-17T20:34:53.000Z,Situation Room,@SituationRoomNg,"Update: Distribution of sensitive materials at Aliade, Gwer-East INEC LGA Office, Benue State, to Wards ahead of the Governorship/State Assembly election.

#SR2023Elections 
#NigeriaDecides2023 
#2023Elections",,,,443
2023-03-17T20:31:14.000Z,AllNews Nigeria,@allnewsngr,2023 Elections: Buni Calls For Peaceful Electoral Process,,,,29
2023-03-17T20:28:17.000Z,OchumedsNGLtd,@OchumedsLtd,| inec 2023elections | makinde | mcOlumo | Sowolu|,,,,10
Sponsored post,Payday,@ourpaydayHQ,"1. Global Accounts: USD, GBP, EUR, etc — in your name 

2. USD Mastercard that works globally. 

Download Payday: 
http://usepayday.app.link/download?twclid=21uwzq48urr6a2eo1vcotjcsx3","2,022",220,159,2.4M
2023-03-17T20:27:26.000Z,Situation Room,@SituationRoomNg,"Update: Distribution of sensitive materials to 12 Wards at Bauchi INEC LGA Office ahead of the Governorship/State Assembly election.
Time: 6:56pm 

#SR2023Elections 
#NigeriaDecides2023 
#2023elections",2,,,468
2023-03-17T19:14:54.000Z,Gistsmate,@GGistsmateMedia,"Police Arrest Woman With 550 Laminated INEC Materials

#2023elections",1,,,65
